date,totalCapital,unrializedPnL,rializedPnL,stocksOwned,stocksPriceToday,stocksPriceBoughtAt,putOwned,putOwnedSoldAt,putPriceToday,putOwnedContract,putOwnedStrike,callOwned,callOwnedSoldAt,callPriceToday,callOwnedContract,callOwnedStrike,trackType
2018-11-01,0.0,0.0,0.0,0,273.51,0.0,0,0.0,0.0,,0.0,0,0.0,0.0,,0.0,bidTooLow
2018-11-02,0.0,0.0,0.0,0,271.89,0.0,0,0.0,0.0,,0.0,0,0.0,0.0,,0.0,bidTooLow
2018-11-05,0.0,-3.0,0.0,0,273.39,0.0,1,0.12,0.15,SPY181107P00262000,262.0,0,0.0,0.0,,0.0,normalDay
2018-11-06,0.0,5.0,0.0,0,275.12,0.0,1,0.12,0.07,SPY181107P00262000,262.0,0,0.0,0.0,,0.0,normalDay
2018-11-07,12.0,0.0,12.0,0,281.01,0.0,1,0.12,0.0,SPY181107P00262000,262.0,0,0.0,0.0,,0.0,expirationDay
2018-11-08,12.0,0.0,0.0,0,280.5,0.0,0,0.0,0.0,,0.0,0,0.0,0.0,,0.0,bidTooLow
2018-11-09,12.0,0.0,0.0,0,277.76,0.0,0,0.0,0.0,,0.0,0,0.0,0.0,,0.0,bidTooLow
2018-11-12,12.0,-3.0,0.0,0,272.57,0.0,1,0.16,0.19,SPY181114P00263000,263.0,0,0.0,0.0,,0.0,normalDay
2018-11-13,12.0,12.0,0.0,0,272.06,0.0,1,0.16,0.04,SPY181114P00263000,263.0,0,0.0,0.0,,0.0,normalDay
2018-11-14,28.0,0.0,16.0,0,270.2,0.0,1,0.16,0.0,SPY181114P00263000,263.0,0,0.0,0.0,,0.0,expirationDay
2018-11-15,28.0,-3.0,0.0,0,273.02,0.0,1,0.02,0.05,SPY181116P00263000,263.0,0,0.0,0.0,,0.0,normalDay
2018-11-16,30.0,0.0,2.0,0,273.73,0.0,1,0.02,0.0,SPY181116P00263000,263.0,0,0.0,0.0,,0.0,expirationDay
2018-11-19,30.0,-4.0,0.0,0,269.1,0.0,1,0.27,0.31,SPY181121P00263000,263.0,0,0.0,0.0,,0.0,normalDay
2018-11-20,30.0,-85.0,0.0,0,264.12,0.0,1,0.27,1.12,SPY181121P00263000,263.0,0,0.0,0.0,,0.0,normalDay
2018-11-21,57.0,0.0,27.0,0,265.02,0.0,1,0.27,0.0,SPY181121P00263000,263.0,0,0.0,0.0,,0.0,expirationDay
2018-11-23,57.0,0.0,0.0,0,263.25,0.0,0,0.0,0.0,,0.0,0,0.0,0.0,,0.0,bidTooLow
2018-11-26,57.0,-3.0,0.0,0,267.5,0.0,1,0.1,0.13,SPY181128P00261000,261.0,0,0.0,0.0,,0.0,normalDay
2018-11-27,57.0,7.0,0.0,0,268.4,0.0,1,0.1,0.03,SPY181128P00261000,261.0,0,0.0,0.0,,0.0,normalDay
2018-11-28,67.0,0.0,10.0,0,274.58,0.0,1,0.1,0.0,SPY181128P00261000,261.0,0,0.0,0.0,,0.0,expirationDay
2018-11-29,67.0,0.0,0.0,0,273.98,0.0,0,0.0,0.0,,0.0,0,0.0,0.0,,0.0,bidTooLow
2018-11-30,67.0,0.0,0.0,0,275.65,0.0,0,0.0,0.0,,0.0,0,0.0,0.0,,0.0,bidTooLow
2018-12-03,67.0,0.0,0.0,0,279.3,0.0,0,0.0,0.0,,0.0,0,0.0,0.0,,0.0,bidTooLow
2018-12-04,67.0,0.0,0.0,0,270.25,0.0,0,0.0,0.0,,0.0,0,0.0,0.0,,0.0,bidTooLow
2018-12-06,67.0,-3.0,0.0,0,269.84,0.0,1,0.07,0.1,SPY181207P00262000,262.0,0,0.0,0.0,,0.0,normalDay
2018-12-07,74.0,0.0,7.0,0,263.57,0.0,1,0.07,0.0,SPY181207P00262000,262.0,0,0.0,0.0,,0.0,expirationDay
2018-12-10,74.0,-5.0,0.0,0,264.07,0.0,1,0.92,0.97,SPY181212P00261000,261.0,0,0.0,0.0,,0.0,normalDay
2018-12-11,74.0,35.0,0.0,0,264.13,0.0,1,0.92,0.57,SPY181212P00261000,261.0,0,0.0,0.0,,0.0,normalDay
2018-12-12,166.0,0.0,92.0,0,265.46,0.0,1,0.92,0.0,SPY181212P00261000,261.0,0,0.0,0.0,,0.0,expirationDay
2018-12-13,166.0,-3.0,0.0,0,265.37,0.0,1,0.1,0.13,SPY181214P00259500,259.5,0,0.0,0.0,,0.0,normalDay
2018-12-14,176.0,0.0,10.0,0,260.47,0.0,1,0.1,0.0,SPY181214P00259500,259.5,0,0.0,0.0,,0.0,expirationDay
2018-12-17,176.0,-10.0,0.0,0,255.36,0.0,1,2.57,2.67,SPY181219P00256000,256.0,0,0.0,0.0,,0.0,normalDay
2018-12-18,176.0,-47.0,0.0,0,255.08,0.0,1,2.57,3.04,SPY181219P00256000,256.0,0,0.0,0.0,,0.0,normalDay
2018-12-19,433.0,-474.0,257.0,100,251.26,256.0,1,2.57,0.0,SPY181219P00256000,256.0,0,0.0,0.0,,0.0,expirationDay
2018-12-20,433.0,-889.0,0.0,100,247.17,256.0,0,0.0,0.0,,0.0,1,0.22,0.28,SPY190102C00263000,263.0,normalDay
2018-12-21,433.0,-1519.0,0.0,100,240.7,256.0,0,0.0,0.0,,0.0,1,0.22,0.11,SPY190102C00263000,263.0,normalDay
2018-12-24,433.0,-2147.0,0.0,100,234.34,256.0,0,0.0,0.0,,0.0,1,0.22,0.03,SPY190102C00263000,263.0,normalDay
2018-12-26,433.0,-971.0,0.0,100,246.18,256.0,0,0.0,0.0,,0.0,1,0.22,0.11,SPY190102C00263000,263.0,normalDay
2018-12-27,433.0,-784.0,0.0,100,248.07,256.0,0,0.0,0.0,,0.0,1,0.22,0.13,SPY190102C00263000,263.0,normalDay
2018-12-28,433.0,-807.0,0.0,100,247.75,256.0,0,0.0,0.0,,0.0,1,0.22,0.04,SPY190102C00263000,263.0,normalDay
2018-12-31,433.0,-587.0,0.0,100,249.92,256.0,0,0.0,0.0,,0.0,1,0.22,0.01,SPY190102C00263000,263.0,normalDay
2019-01-02,455.0,-582.0,22.0,100,250.18,256.0,0,0.0,0.0,,0.0,1,0.22,0.0,SPY190102C00263000,263.0,expirationDay
2019-01-03,455.0,-1185.0,0.0,100,244.21,256.0,0,0.0,0.0,,0.0,1,0.85,0.91,SPY190116C00253000,253.0,normalDay
2019-01-04,455.0,-607.0,0.0,100,252.39,256.0,0,0.0,0.0,,0.0,1,0.85,3.31,SPY190116C00253000,253.0,normalDay
2019-01-07,455.0,-476.0,0.0,100,254.38,256.0,0,0.0,0.0,,0.0,1,0.85,3.99,SPY190116C00253000,253.0,normalDay
2019-01-08,455.0,-365.0,0.0,100,256.77,256.0,0,0.0,0.0,,0.0,1,0.85,5.27,SPY190116C00253000,253.0,normalDay
2019-01-09,455.0,-321.0,0.0,100,257.97,256.0,0,0.0,0.0,,0.0,1,0.85,6.03,SPY190116C00253000,253.0,normalDay
2019-01-10,455.0,-284.0,0.0,100,258.88,256.0,0,0.0,0.0,,0.0,1,0.85,6.57,SPY190116C00253000,253.0,normalDay
2019-01-11,455.0,-247.0,0.0,100,258.98,256.0,0,0.0,0.0,,0.0,1,0.85,6.3,SPY190116C00253000,253.0,normalDay
2019-01-14,455.0,-250.0,0.0,100,257.4,256.0,0,0.0,0.0,,0.0,1,0.85,4.75,SPY190116C00253000,253.0,normalDay
2019-01-15,455.0,-218.0,0.0,100,260.35,256.0,0,0.0,0.0,,0.0,1,0.85,7.38,SPY190116C00253000,253.0,normalDay
2019-01-16,240.0,-218.0,-215.0,0,260.98,0.0,0,0.0,0.0,,0.0,1,0.85,0.0,SPY190116C00253000,253.0,expirationDay
2019-01-17,240.0,0.0,0.0,0,262.96,0.0,0,0.0,0.0,,0.0,0,0.0,0.0,,0.0,bidTooLow
