date,totalCapital,unrializedPnL,rializedPnL,stocksOwned,stocksPriceToday,stocksPriceBoughtAt,putOwned,putOwnedSoldAt,putPriceToday,putOwnedContract,putOwnedStrike,callOwned,callOwnedSoldAt,callPriceToday,callOwnedContract,callOwnedStrike,trackType
2018-11-01,0.0,-8.0,0.0,0,273.51,0.0,1,4.81,4.89,SPY181119P00275000,275.0,0,0.0,0.0,,0.0,normalDay
2018-11-02,0.0,-68.0,0.0,0,271.89,0.0,1,4.81,5.49,SPY181119P00275000,275.0,0,0.0,0.0,,0.0,normalDay
2018-11-05,0.0,51.0,0.0,0,273.39,0.0,1,4.81,4.3,SPY181119P00275000,275.0,0,0.0,0.0,,0.0,normalDay
2018-11-06,0.0,142.0,0.0,0,275.12,0.0,1,4.81,3.39,SPY181119P00275000,275.0,0,0.0,0.0,,0.0,normalDay
2018-11-07,0.0,384.0,0.0,0,281.01,0.0,1,4.81,0.97,SPY181119P00275000,275.0,0,0.0,0.0,,0.0,normalDay
2018-11-08,0.0,386.0,0.0,0,280.5,0.0,1,4.81,0.95,SPY181119P00275000,275.0,0,0.0,0.0,,0.0,normalDay
2018-11-09,0.0,326.0,0.0,0,277.76,0.0,1,4.81,1.55,SPY181119P00275000,275.0,0,0.0,0.0,,0.0,normalDay
2018-11-12,0.0,98.0,0.0,0,272.57,0.0,1,4.81,3.83,SPY181119P00275000,275.0,0,0.0,0.0,,0.0,normalDay
2018-11-13,0.0,70.0,0.0,0,272.06,0.0,1,4.81,4.11,SPY181119P00275000,275.0,0,0.0,0.0,,0.0,normalDay
2018-11-14,0.0,-121.0,0.0,0,270.2,0.0,1,4.81,6.02,SPY181119P00275000,275.0,0,0.0,0.0,,0.0,normalDay
2018-11-15,0.0,188.0,0.0,0,273.02,0.0,1,4.81,2.93,SPY181119P00275000,275.0,0,0.0,0.0,,0.0,normalDay
2018-11-16,0.0,308.0,0.0,0,273.73,0.0,1,4.81,1.73,SPY181119P00275000,275.0,0,0.0,0.0,,0.0,normalDay
2018-11-19,481.0,-590.0,481.0,100,269.1,275.0,1,4.81,0.0,SPY181119P00275000,275.0,0,0.0,0.0,,0.0,expirationDay
2018-11-20,481.0,-1095.0,0.0,100,264.12,275.0,0,0.0,0.0,,0.0,1,2.79,2.86,SPY181231C00272000,272.0,normalDay
2018-11-21,481.0,-994.0,0.0,100,265.02,275.0,0,0.0,0.0,,0.0,1,2.79,2.75,SPY181231C00272000,272.0,normalDay
2018-11-23,481.0,-1113.0,0.0,100,263.25,275.0,0,0.0,0.0,,0.0,1,2.79,2.17,SPY181231C00272000,272.0,normalDay
2018-11-26,481.0,-780.0,0.0,100,267.5,275.0,0,0.0,0.0,,0.0,1,2.79,3.09,SPY181231C00272000,272.0,normalDay
2018-11-27,481.0,-721.0,0.0,100,268.4,275.0,0,0.0,0.0,,0.0,1,2.79,3.4,SPY181231C00272000,272.0,normalDay
2018-11-28,481.0,-414.0,0.0,100,274.58,275.0,0,0.0,0.0,,0.0,1,2.79,6.51,SPY181231C00272000,272.0,normalDay
2018-11-29,481.0,-469.0,0.0,100,273.98,275.0,0,0.0,0.0,,0.0,1,2.79,6.46,SPY181231C00272000,272.0,normalDay
2018-11-30,481.0,-425.0,0.0,100,275.65,275.0,0,0.0,0.0,,0.0,1,2.79,7.69,SPY181231C00272000,272.0,normalDay
2018-12-03,481.0,-222.0,0.0,100,279.3,275.0,0,0.0,0.0,,0.0,1,2.79,9.31,SPY181231C00272000,272.0,normalDay
2018-12-04,481.0,-615.0,0.0,100,270.25,275.0,0,0.0,0.0,,0.0,1,2.79,4.19,SPY181231C00272000,272.0,normalDay
2018-12-06,481.0,-626.0,0.0,100,269.84,275.0,0,0.0,0.0,,0.0,1,2.79,3.89,SPY181231C00272000,272.0,normalDay
2018-12-07,481.0,-1044.0,0.0,100,263.57,275.0,0,0.0,0.0,,0.0,1,2.79,1.8,SPY181231C00272000,272.0,normalDay
2018-12-10,481.0,-973.0,0.0,100,264.07,275.0,0,0.0,0.0,,0.0,1,2.79,1.59,SPY181231C00272000,272.0,normalDay
2018-12-11,481.0,-941.0,0.0,100,264.13,275.0,0,0.0,0.0,,0.0,1,2.79,1.33,SPY181231C00272000,272.0,normalDay
